Month,furniture
2004-01,30
2004-02,30
2004-03,37
2004-04,25
2004-05,24
2004-06,29
2004-07,29
2004-08,29
2004-09,30
2004-10,43
2004-11,46
2004-12,35
2005-01,37
2005-02,23
2005-03,37
2005-04,65
2005-05,32
2005-06,32
2005-07,24
2005-08,26
2005-09,30
2005-10,28
2005-11,58
2005-12,100
2006-01,28
2006-02,36
2006-03,28
2006-04,27
2006-05,27
2006-06,34
2006-07,29
2006-08,28
2006-09,29
2006-10,26
2006-11,34
2006-12,30
2007-01,30
2007-02,27
2007-03,32
2007-04,21
2007-05,29
2007-06,30
2007-07,34
2007-08,29
2007-09,26
2007-10,25
2007-11,31
2007-12,28
2008-01,31
2008-02,29
2008-03,32
2008-04,31
2008-05,32
2008-06,35
2008-07,29
2008-08,31
2008-09,28
2008-10,26
2008-11,25
2008-12,25
2009-01,27
2009-02,30
2009-03,29
2009-04,27
2009-05,31
2009-06,30
2009-07,29
2009-08,30
2009-09,40
2009-10,28
2009-11,31
2009-12,30
2010-01,28
2010-02,38
2010-03,32
2010-04,38
2010-05,35
2010-06,37
2010-07,31
2010-08,31
2010-09,32
2010-10,36
2010-11,34
2010-12,60
2011-01,64
2011-02,51
2011-03,45
2011-04,65
2011-05,49
2011-06,47
2011-07,43
2011-08,45
2011-09,48
2011-10,40
2011-11,50
2011-12,45
2012-01,58
2012-02,50
2012-03,50
2012-04,48
2012-05,40
2012-06,49
2012-07,46
2012-08,44
2012-09,48
2012-10,44
2012-11,43
2012-12,39
2013-01,50
2013-02,51
2013-03,46
2013-04,46
2013-05,43
2013-06,45
2013-07,47
2013-08,50
2013-09,45
2013-10,45
2013-11,49
2013-12,44
2014-01,53
2014-02,49
2014-03,51
2014-04,48
2014-05,46
2014-06,47
2014-07,47
2014-08,47
2014-09,46
2014-10,46
2014-11,43
2014-12,50
2015-01,50
2015-02,48
2015-03,54
2015-04,46
2015-05,50
2015-06,48
2015-07,47
2015-08,48
2015-09,50
2015-10,47
2015-11,48
2015-12,47
2016-01,52
2016-02,60
2016-03,53
2016-04,70
2016-05,51
2016-06,47
2016-07,48
2016-08,44
2016-09,46
2016-10,48
2016-11,55
2016-12,47
2017-01,57
2017-02,58
2017-03,56
2017-04,56
2017-05,55
2017-06,48
2017-07,50
2017-08,49
2017-09,48
2017-10,48
2017-11,57
2017-12,47
2018-01,60
2018-02,57
2018-03,59
2018-04,60
2018-05,52
2018-06,48
2018-07,50
2018-08,50
2018-09,53
2018-10,53
2018-11,54
2018-12,48
2019-01,52
2019-02,57
2019-03,58
2019-04,54
2019-05,60
2019-06,70
2019-07,51
2019-08,55
2019-09,58
2019-10,60
2019-11,53
2019-12,48
2020-01,59
2020-02,67
2020-03,48
2020-04,53
2020-05,59
2020-06,58
2020-07,59
2020-08,55
2020-09,60
2020-10,51
2020-11,49
2020-12,47
2021-01,55
2021-02,64
2021-03,58
2021-04,58
2021-05,52
2021-06,54
2021-07,52
2021-08,52
2021-09,50
2021-10,54
2021-11,54
2021-12,48
2022-01,68
2022-02,64
2022-03,62
2022-04,62
2022-05,60
2022-06,51
2022-07,59
2022-08,59
2022-09,58
2022-10,59
2022-11,73
2022-12,56
2023-01,58
2023-02,64
2023-03,63
2023-04,60
2023-05,61
2023-06,58
2023-07,59
2023-08,60
2023-09,68
2023-10,66
2023-11,59
2023-12,55
2024-01,66
2024-02,73
2024-03,69
2024-04,69
2024-05,60
2024-06,59
2024-07,55
2024-08,64
2024-09,65
2024-10,64
2024-11,76
2024-12,65
2025-01,65
2025-02,67
2025-03,67
2025-04,67
2025-05,63
